,ligand,receptor,JS_Treg,JS_Th0,delta,frac_pos_Treg,frac_pos_Th0,mean_recep_Treg,mean_recep_Th0,mean_lig,n_Treg,n_Th0
95,Jam2,F11r,0.6924606844510909,0.7859468746322184,-0.09348619018112747,0.22488317757009346,0.14190093708165996,1.8808653354644775,1.2172679901123047,2.008331060409546,1712,1494
96,Tslp,Crlf2,0.6913665326812851,0.7861951486172422,-0.09482861593595704,0.23656542056074767,0.17336010709504684,1.9687690734863281,1.4765143394470215,0.35599657893180847,1712,1494
97,Itga9,Vcam1,0.6809592976420297,0.7766754122633936,-0.09571611462136398,0.2283878504672897,0.1746987951807229,1.935508131980896,1.5155448913574219,2.0229880809783936,1712,1494
98,Vwf,Itgb3,0.6778716168286526,0.773913287095738,-0.09604167026708543,0.2716121495327103,0.16934404283801874,2.3167808055877686,1.4891140460968018,2.5189003944396973,1712,1494
99,Col4a1,Itga3,0.6790360092667759,0.7757132019191006,-0.09667719265232477,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,7.091513156890869,1712,1494
100,Thy1,Itgb2,0.4408402197959044,0.5382698204606629,-0.09742960066475848,0.804322429906542,0.7014725568942436,7.26543664932251,6.4725189208984375,1.0864776372909546,1712,1494
101,Fn1,Itga3,0.6734498572167522,0.7718521731293947,-0.09840231591264248,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,5.665269374847412,1712,1494
102,Lama3,Itga3,0.6880654281962834,0.7867504424434368,-0.09868501424715348,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,1.4434186220169067,1712,1494
103,H2-Ab1,Cd4,0.48409297088859243,0.5834791278860442,-0.09938615699745174,0.7038551401869159,0.715528781793842,6.230193614959717,6.7079854011535645,6.461980819702148,1712,1494
104,Il2,Il2rb,0.5809489032271526,0.6805929781771426,-0.09964407494998995,0.7301401869158879,0.45314591700133866,6.579375743865967,4.117067337036133,0.03880273178219795,1712,1494
105,Il4,Il13ra1,0.7813373490076241,0.8812445525367567,-0.09990720352913263,0.1022196261682243,0.04417670682730924,0.8362829089164734,0.36943909525871277,0.21229012310504913,1712,1494
106,Lama2,Itgb1,0.5218250586398561,0.6224344628887852,-0.10060940424892917,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,1.2718786001205444,1712,1494
107,Vtn,Itgb5,0.7015937205004135,0.8022086458700103,-0.10061492536959682,0.24707943925233644,0.14190093708165996,2.054210901260376,1.2112069129943848,0.20507098734378815,1712,1494
108,Jam2,Itgb1,0.5249538569940002,0.6257226213674132,-0.10076876437341298,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,2.008331060409546,1712,1494
