,ligand,receptor,JS_adventitia_CD4act,JS_TLS_CD4act,delta,frac_pos_adventitia_CD4act,frac_pos_TLS_CD4act,mean_recep_adventitia_CD4act,mean_recep_TLS_CD4act,mean_lig,n_adventitia_CD4act,n_TLS_CD4act
92,Vtn,Itgav,0.7633306421899804,0.8137975769130784,-0.050466934723098045,0.43786127167630057,0.4375,3.7998905181884766,3.8223869800567627,0.20507098734378815,1384,1200
93,Dll3,Notch1,0.7672870117492443,0.819869178091999,-0.0525821663427547,0.4313583815028902,0.42916666666666664,3.742673635482788,3.7358553409576416,0.01645168475806713,1384,1200
94,Icosl,Ctla4,0.6452569060512892,0.6980136095239836,-0.052756703472694455,0.5151734104046243,0.41,4.717128276824951,3.67844557762146,1.5611708164215088,1384,1200
95,Cd80,Cd28,0.6609436324599008,0.7137873739840831,-0.05284374152418225,0.523121387283237,0.5708333333333333,4.660684585571289,5.13004207611084,0.3400360643863678,1384,1200
96,Col1a1,Itga1,0.752713072803624,0.8062364689803929,-0.053523396176768934,0.14739884393063585,0.15666666666666668,1.2661675214767456,1.3544394969940186,3.2534241676330566,1384,1200
97,Vtn,Itgb5,0.7948400501860379,0.8494280408258867,-0.05458799063984887,0.23482658959537572,0.15166666666666667,1.9935433864593506,1.2821238040924072,0.20507098734378815,1384,1200
98,Lama3,Itgav,0.7472446049762731,0.8018882400086127,-0.0546436350323396,0.43786127167630057,0.4375,3.7998905181884766,3.8223869800567627,1.4434186220169067,1384,1200
99,Lamc2,Itgb1,0.7213202603447874,0.77632169403666,-0.0550014336918726,0.6575144508670521,0.6891666666666667,6.019511699676514,6.314148902893066,2.041736364364624,1384,1200
100,Tslp,Crlf2,0.7859292678286831,0.8410596765762659,-0.05513040874758279,0.18786127167630057,0.19833333333333333,1.5899511575698853,1.6767359972000122,0.35599657893180847,1384,1200
101,Dll1,Notch1,0.7455926663586573,0.8010459713672935,-0.05545330500863621,0.4313583815028902,0.42916666666666664,3.742673635482788,3.7358553409576416,1.0893017053604126,1384,1200
102,Vwf,Itgb3,0.7759494070938704,0.8315305721192944,-0.055581165025423984,0.25939306358381503,0.195,2.242915391921997,1.6854921579360962,2.5189003944396973,1384,1200
103,Itga4,Itgb1,0.6367332008153241,0.692640007580054,-0.05590680676472981,0.6575144508670521,0.6891666666666667,6.019511699676514,6.314148902893066,2.56325364112854,1384,1200
